100073at32523	13735_0:0024ff
148851at32523	13735_0:00119c
148878at32523	13735_0:002a8f
148878at32523	13735_0:002a92
148904at32523	13735_0:0049b9
149009at32523	13735_0:00202c
149048at32523	13735_0:002302
149114at32523	13735_0:003e34
149214at32523	13735_0:001685
14923at32523	13735_0:004757
149281at32523	13735_0:00361f
149295at32523	13735_0:0022ed
149303at32523	13735_0:000a13
149367at32523	13735_0:0006f1
149417at32523	13735_0:000a6b
149487at32523	13735_0:0021b7
149491at32523	13735_0:002254
149510at32523	13735_0:003484
149524at32523	13735_0:00477e
149535at32523	13735_0:000fff
149548at32523	13735_0:0019c4
14956at32523	13735_0:002206
149597at32523	13735_0:003568
149605at32523	13735_0:000ea4
149610at32523	13735_0:0009e2
149711at32523	13735_0:0018b1
149713at32523	13735_0:0021eb
149751at32523	13735_0:003a9f
149790at32523	13735_0:001468
14979at32523	13735_0:0034c2
149835at32523	13735_0:004aab
149850at32523	13735_0:004b1d
149868at32523	13735_0:00257d
149898at32523	13735_0:000ade
149929at32523	13735_0:004ad5
149967at32523	13735_0:0009e7
15001at32523	13735_0:00136e
150076at32523	13735_0:00375d
150095at32523	13735_0:0026a0
150104at32523	13735_0:0037c3
150141at32523	13735_0:00138b
150210at32523	13735_0:003a68
150366at32523	13735_0:003fa9
150373at32523	13735_0:004753
15039at32523	13735_0:0017fd
150509at32523	13735_0:00466a
150577at32523	13735_0:001482
150642at32523	13735_0:002df2
150698at32523	13735_0:000669
150824at32523	13735_0:004b27
150956at32523	13735_0:002398
151007at32523	13735_0:0029fd
151083at32523	13735_0:0047cb
151181at32523	13735_0:00449f
15121at32523	13735_0:00304f
151255at32523	13735_0:003f60
151289at32523	13735_0:001ab0
151420at32523	13735_0:0034e7
151454at32523	13735_0:003a4a
151455at32523	13735_0:001f32
15162at32523	13735_0:001c7a
151644at32523	13735_0:002b65
151668at32523	13735_0:004098
151813at32523	13735_0:004a78
151890at32523	13735_0:001108
151903at32523	13735_0:002abe
151917at32523	13735_0:00492b
151965at32523	13735_0:001a84
152021at32523	13735_0:00344f
152074at32523	13735_0:003daf
152156at32523	13735_0:004081
152211at32523	13735_0:001d30
152308at32523	13735_0:004917
152310at32523	13735_0:003491
152363at32523	13735_0:00095e
152395at32523	13735_0:0013aa
152479at32523	13735_0:000e87
152561at32523	13735_0:0049ef
152640at32523	13735_0:004649
15265at32523	13735_0:0018ba
152668at32523	13735_0:0021d9
152670at32523	13735_0:003177
152751at32523	13735_0:0042ce
152780at32523	13735_0:00171f
1528at32523	13735_0:00043e
152953at32523	13735_0:004029
152969at32523	13735_0:001cbc
152992at32523	13735_0:0016e1
153158at32523	13735_0:0013b9
153206at32523	13735_0:000d02
153217at32523	13735_0:003beb
153223at32523	13735_0:004762
153249at32523	13735_0:0036fd
153255at32523	13735_0:0021b6
153277at32523	13735_0:0032e2
153562at32523	13735_0:001232
153576at32523	13735_0:002c5b
153761at32523	13735_0:000479
153897at32523	13735_0:00496e
153910at32523	13735_0:004505
15391at32523	13735_0:003bb2
154035at32523	13735_0:0046e0
154069at32523	13735_0:00261c
154096at32523	13735_0:0029e2
154136at32523	13735_0:001b8c
154151at32523	13735_0:000ae6
154282at32523	13735_0:004198
154284at32523	13735_0:002622
154309at32523	13735_0:001f0f
154328at32523	13735_0:004217
154353at32523	13735_0:000738
154523at32523	13735_0:000ad7
154532at32523	13735_0:000d33
15464at32523	13735_0:004aea
154682at32523	13735_0:004850
15476at32523	13735_0:0040ea
154801at32523	13735_0:00022d
154803at32523	13735_0:002a82
154840at32523	13735_0:003ace
154904at32523	13735_0:000de2
154908at32523	13735_0:001760
154924at32523	13735_0:001b6e
154925at32523	13735_0:00251e
155031at32523	13735_0:002d1f
155052at32523	13735_0:004a73
155159at32523	13735_0:0020de
155164at32523	13735_0:0045f9
155180at32523	13735_0:00006d
155190at32523	13735_0:001779
155190at32523	13735_0:002dda
15520at32523	13735_0:0024c8
155262at32523	13735_0:003b41
155297at32523	13735_0:0024c4
155481at32523	13735_0:000734
155486at32523	13735_0:003111
15549at32523	13735_0:0013d2
155642at32523	13735_0:002ef8
155761at32523	13735_0:0008af
155765at32523	13735_0:0031d6
155782at32523	13735_0:002c20
155788at32523	13735_0:003b22
155886at32523	13735_0:00015d
155889at32523	13735_0:001b14
155954at32523	13735_0:001aff
155984at32523	13735_0:00159b
155997at32523	13735_0:000e9b
156110at32523	13735_0:003d23
156218at32523	13735_0:00040a
156218at32523	13735_0:000418
156299at32523	13735_0:000919
156345at32523	13735_0:001222
156394at32523	13735_0:001ab5
156433at32523	13735_0:000216
156453at32523	13735_0:0006d8
156520at32523	13735_0:000de8
156527at32523	13735_0:003665
156603at32523	13735_0:001727
156612at32523	13735_0:001d12
156644at32523	13735_0:0018ad
156676at32523	13735_0:0045f8
156677at32523	13735_0:0039a5
156691at32523	13735_0:002df4
156698at32523	13735_0:00345f
156795at32523	13735_0:0016ab
156797at32523	13735_0:004605
156907at32523	13735_0:0034ec
15690at32523	13735_0:0032f1
156913at32523	13735_0:0044a5
156936at32523	13735_0:001ccb
157045at32523	13735_0:004990
157101at32523	13735_0:0006ea
157149at32523	13735_0:00230b
157171at32523	13735_0:0004aa
157184at32523	13735_0:001486
157369at32523	13735_0:00071f
157511at32523	13735_0:002ec2
157522at32523	13735_0:004521
157532at32523	13735_0:00354a
157569at32523	13735_0:0017b4
157574at32523	13735_0:000a15
157582at32523	13735_0:001d6a
157610at32523	13735_0:0028f0
157630at32523	13735_0:002b05
157714at32523	13735_0:002c62
157717at32523	13735_0:001ace
157748at32523	13735_0:0003dd
157804at32523	13735_0:003be4
157816at32523	13735_0:001640
157817at32523	13735_0:0042bc
157968at32523	13735_0:0015d7
158013at32523	13735_0:000303
158052at32523	13735_0:00117a
158106at32523	13735_0:00215d
158115at32523	13735_0:002720
158268at32523	13735_0:0006a1
15838at32523	13735_0:001f74
158403at32523	13735_0:002280
158404at32523	13735_0:000406
158430at32523	13735_0:0007dc
158451at32523	13735_0:002cc0
158470at32523	13735_0:0048cf
158487at32523	13735_0:002fc8
158492at32523	13735_0:004a87
158493at32523	13735_0:00155e
158657at32523	13735_0:001ec1
158697at32523	13735_0:002181
158701at32523	13735_0:0040b8
158721at32523	13735_0:0023d4
158753at32523	13735_0:000435
158792at32523	13735_0:000e1a
158811at32523	13735_0:000160
15890at32523	13735_0:0045e5
158955at32523	13735_0:00145e
159065at32523	13735_0:002b50
15909at32523	13735_0:002902
159137at32523	13735_0:003257
159144at32523	13735_0:00109d
159160at32523	13735_0:001fda
159191at32523	13735_0:00210e
159224at32523	13735_0:000265
159353at32523	13735_0:003a12
159382at32523	13735_0:004a81
159490at32523	13735_0:0035cd
159524at32523	13735_0:0004b5
159536at32523	13735_0:0028fe
15955at32523	13735_0:001072
159599at32523	13735_0:000d82
159696at32523	13735_0:001cb8
159704at32523	13735_0:001c33
159723at32523	13735_0:000bb7
159730at32523	13735_0:003b85
159778at32523	13735_0:000192
159905at32523	13735_0:001e1b
159991at32523	13735_0:0017c7
160103at32523	13735_0:003ec4
160110at32523	13735_0:003fe3
160152at32523	13735_0:004004
160155at32523	13735_0:001903
160164at32523	13735_0:003cb2
160202at32523	13735_0:0013e2
160219at32523	13735_0:00289f
160232at32523	13735_0:003abe
16025at32523	13735_0:003d59
160273at32523	13735_0:0033a2
160374at32523	13735_0:004596
160404at32523	13735_0:001649
160490at32523	13735_0:0037b9
160510at32523	13735_0:000e76
160529at32523	13735_0:003a44
160659at32523	13735_0:001957
160677at32523	13735_0:001764
160758at32523	13735_0:004a42
16076at32523	13735_0:002a81
160911at32523	13735_0:0022b3
160923at32523	13735_0:0024f6
160941at32523	13735_0:0002e9
160946at32523	13735_0:002d7f
160962at32523	13735_0:001234
161015at32523	13735_0:00070a
161080at32523	13735_0:000665
161090at32523	13735_0:002844
161102at32523	13735_0:000503
161123at32523	13735_0:001d94
161244at32523	13735_0:003737
161263at32523	13735_0:0013fc
161343at32523	13735_0:000af6
161449at32523	13735_0:00231d
161507at32523	13735_0:0027be
161532at32523	13735_0:004805
161653at32523	13735_0:003676
161674at32523	13735_0:002137
161728at32523	13735_0:001562
16175at32523	13735_0:0038d3
161938at32523	13735_0:001516
161967at32523	13735_0:00185c
162030at32523	13735_0:002869
162034at32523	13735_0:002dfc
162119at32523	13735_0:00246b
162144at32523	13735_0:004485
162293at32523	13735_0:00225d
162333at32523	13735_0:003384
162338at32523	13735_0:003889
162427at32523	13735_0:004177
162438at32523	13735_0:003100
162442at32523	13735_0:0049cb
162454at32523	13735_0:004712
162481at32523	13735_0:003182
162482at32523	13735_0:0024ea
162668at32523	13735_0:003a5a
162671at32523	13735_0:003766
162748at32523	13735_0:001dd1
162912at32523	13735_0:002369
162915at32523	13735_0:001ed1
162932at32523	13735_0:001ef0
162967at32523	13735_0:0019b2
163158at32523	13735_0:002264
163180at32523	13735_0:004853
163188at32523	13735_0:00218b
163200at32523	13735_0:001457
163207at32523	13735_0:002519
163226at32523	13735_0:000b84
163231at32523	13735_0:0029a7
163249at32523	13735_0:000ad8
163409at32523	13735_0:0043e5
163540at32523	13735_0:002f99
163646at32523	13735_0:004b0f
163694at32523	13735_0:0035fc
163709at32523	13735_0:0003ba
163714at32523	13735_0:00123c
163916at32523	13735_0:001d5b
163950at32523	13735_0:0045c7
163952at32523	13735_0:001901
163963at32523	13735_0:0001e5
164205at32523	13735_0:003f9d
164362at32523	13735_0:003666
164369at32523	13735_0:00057e
164435at32523	13735_0:00240d
164437at32523	13735_0:001657
164469at32523	13735_0:004b20
164471at32523	13735_0:003ec1
164484at32523	13735_0:002045
164580at32523	13735_0:0012f4
164604at32523	13735_0:0016b9
164694at32523	13735_0:000979
164694at32523	13735_0:00422c
16472at32523	13735_0:004914
164767at32523	13735_0:003189
164801at32523	13735_0:00490a
164856at32523	13735_0:003875
16495at32523	13735_0:0017a1
165017at32523	13735_0:002174
165047at32523	13735_0:00388c
165049at32523	13735_0:0016e3
16505at32523	13735_0:003c88
165208at32523	13735_0:003352
165225at32523	13735_0:0047ab
165240at32523	13735_0:00281a
165260at32523	13735_0:00025e
165319at32523	13735_0:0013b1
165320at32523	13735_0:002ec9
165326at32523	13735_0:0044d2
165328at32523	13735_0:000f72
165454at32523	13735_0:00309d
165494at32523	13735_0:003379
165500at32523	13735_0:0003eb
165502at32523	13735_0:001be6
165526at32523	13735_0:001f4e
165606at32523	13735_0:0015d3
165745at32523	13735_0:0047fb
165748at32523	13735_0:0009ff
165786at32523	13735_0:004152
165838at32523	13735_0:003373
165981at32523	13735_0:004302
166024at32523	13735_0:00395f
166027at32523	13735_0:00039e
16602at32523	13735_0:00145c
166132at32523	13735_0:004144
166167at32523	13735_0:000937
166186at32523	13735_0:0014b8
166317at32523	13735_0:000a9c
166322at32523	13735_0:003381
166353at32523	13735_0:003a7f
166443at32523	13735_0:0043dd
166537at32523	13735_0:0005c8
166546at32523	13735_0:002cbe
166597at32523	13735_0:0014b5
166620at32523	13735_0:00075c
166660at32523	13735_0:00252d
166773at32523	13735_0:0043b4
166812at32523	13735_0:0023fe
16690at32523	13735_0:00204a
166999at32523	13735_0:0031b5
167005at32523	13735_0:002773
16701at32523	13735_0:001ce7
167036at32523	13735_0:00078a
167094at32523	13735_0:000740
167107at32523	13735_0:003bc1
16711at32523	13735_0:000711
167127at32523	13735_0:000c60
167160at32523	13735_0:000957
167179at32523	13735_0:003e3e
167184at32523	13735_0:004a5e
167195at32523	13735_0:00292a
167295at32523	13735_0:0028fc
167373at32523	13735_0:003987
167394at32523	13735_0:0003c7
167400at32523	13735_0:0043e0
167417at32523	13735_0:003375
167418at32523	13735_0:002f8f
167437at32523	13735_0:000df5
167447at32523	13735_0:0021e0
167459at32523	13735_0:001910
167540at32523	13735_0:003022
167562at32523	13735_0:001e89
167608at32523	13735_0:000ee1
167610at32523	13735_0:002a1f
167629at32523	13735_0:0006a5
167639at32523	13735_0:0026bc
167645at32523	13735_0:001636
167660at32523	13735_0:000eb5
167664at32523	13735_0:003f6d
167754at32523	13735_0:003f6c
167886at32523	13735_0:00193d
167904at32523	13735_0:002353
167960at32523	13735_0:00444a
168043at32523	13735_0:000296
168114at32523	13735_0:00170a
168146at32523	13735_0:002183
168147at32523	13735_0:0029fc
168150at32523	13735_0:00276c
168156at32523	13735_0:003099
168278at32523	13735_0:00216a
168302at32523	13735_0:00130b
168322at32523	13735_0:000d22
168412at32523	13735_0:003cb4
168413at32523	13735_0:0047be
168420at32523	13735_0:000443
168421at32523	13735_0:004a2e
168446at32523	13735_0:00254c
168450at32523	13735_0:001429
168457at32523	13735_0:002dc3
168477at32523	13735_0:0037a8
168522at32523	13735_0:000f97
168608at32523	13735_0:002984
168634at32523	13735_0:004866
168809at32523	13735_0:000ff1
168840at32523	13735_0:0017bb
168903at32523	13735_0:003d7f
168932at32523	13735_0:003907
168953at32523	13735_0:0020ca
169032at32523	13735_0:0030e6
16928at32523	13735_0:001985
16931at32523	13735_0:002fd7
169330at32523	13735_0:003c03
169346at32523	13735_0:003d2a
169346at32523	13735_0:00452a
169366at32523	13735_0:0048d3
169435at32523	13735_0:00175d
169495at32523	13735_0:003684
169507at32523	13735_0:0025fe
169526at32523	13735_0:002c40
1696at32523	13735_0:0037f6
169719at32523	13735_0:003d4f
16978at32523	13735_0:004149
169850at32523	13735_0:000c6d
169930at32523	13735_0:001bc2
170019at32523	13735_0:000fb3
170076at32523	13735_0:0049d0
170079at32523	13735_0:004119
170080at32523	13735_0:000bdf
170095at32523	13735_0:00062c
17009at32523	13735_0:002f8a
170201at32523	13735_0:00244a
170246at32523	13735_0:004294
170296at32523	13735_0:0010e3
170322at32523	13735_0:0023c3
170380at32523	13735_0:004a00
170550at32523	13735_0:0014a5
17056at32523	13735_0:00165e
170646at32523	13735_0:003be1
170680at32523	13735_0:0002bf
170856at32523	13735_0:00402e
170858at32523	13735_0:002548
171060at32523	13735_0:000c99
171087at32523	13735_0:002324
171096at32523	13735_0:002e2c
171134at32523	13735_0:00039d
171155at32523	13735_0:001262
171298at32523	13735_0:0019ba
171311at32523	13735_0:0001da
171347at32523	13735_0:003301
171348at32523	13735_0:0014fc
171423at32523	13735_0:003900
171475at32523	13735_0:002fd4
171521at32523	13735_0:003e3b
171587at32523	13735_0:003414
171612at32523	13735_0:000f6f
171646at32523	13735_0:0042f8
171656at32523	13735_0:003728
17185at32523	13735_0:003674
172011at32523	13735_0:00031a
172050at32523	13735_0:0001e3
17218at32523	13735_0:000e97
172222at32523	13735_0:0010fd
172234at32523	13735_0:001902
172287at32523	13735_0:003518
172434at32523	13735_0:0036c2
17252at32523	13735_0:000d2a
172569at32523	13735_0:002ea7
172613at32523	13735_0:002a0a
172636at32523	13735_0:000f0a
172637at32523	13735_0:00466c
172732at32523	13735_0:001d1a
172821at32523	13735_0:001871
172839at32523	13735_0:0032b5
172934at32523	13735_0:0015fa
172939at32523	13735_0:0042d5
173014at32523	13735_0:004371
173021at32523	13735_0:000a62
173082at32523	13735_0:000d12
173099at32523	13735_0:0006ad
173105at32523	13735_0:003fb9
173139at32523	13735_0:000e3b
173329at32523	13735_0:001a04
173550at32523	13735_0:001766
173575at32523	13735_0:0040a3
173582at32523	13735_0:001735
173591at32523	13735_0:0041ce
173598at32523	13735_0:003eab
17363at32523	13735_0:0024a4
173655at32523	13735_0:001a7d
173656at32523	13735_0:004785
173705at32523	13735_0:001a6a
173747at32523	13735_0:001ce8
173797at32523	13735_0:00483e
173815at32523	13735_0:002f06
173832at32523	13735_0:001850
173903at32523	13735_0:000b4c
173918at32523	13735_0:002f47
174022at32523	13735_0:000599
174027at32523	13735_0:002b4a
17403at32523	13735_0:001053
174211at32523	13735_0:000d0a
174347at32523	13735_0:001329
174365at32523	13735_0:002573
174403at32523	13735_0:0033cc
174474at32523	13735_0:003830
174518at32523	13735_0:001a9c
174588at32523	13735_0:002a0f
174589at32523	13735_0:00312a
174611at32523	13735_0:001c85
174621at32523	13735_0:003bec
174624at32523	13735_0:002333
174649at32523	13735_0:000abf
174675at32523	13735_0:004021
174771at32523	13735_0:0030e9
174781at32523	13735_0:00283c
174853at32523	13735_0:002046
174890at32523	13735_0:000450
174944at32523	13735_0:001002
174949at32523	13735_0:0006fb
174959at32523	13735_0:00340e
175073at32523	13735_0:0031bd
175113at32523	13735_0:0002ad
17511at32523	13735_0:0008e4
175128at32523	13735_0:000f29
175337at32523	13735_0:001ff9
175395at32523	13735_0:001132
175462at32523	13735_0:00170c
175476at32523	13735_0:0021fe
175503at32523	13735_0:0023f1
175561at32523	13735_0:00384e
175562at32523	13735_0:000229
175597at32523	13735_0:003353
175609at32523	13735_0:003622
175626at32523	13735_0:001df2
175663at32523	13735_0:003c7c
175768at32523	13735_0:002ad3
175843at32523	13735_0:000c4a
175870at32523	13735_0:003c83
175883at32523	13735_0:00061d
175897at32523	13735_0:002af2
17600at32523	13735_0:001518
176061at32523	13735_0:0024fa
176101at32523	13735_0:004474
176110at32523	13735_0:001a79
176224at32523	13735_0:00148f
176378at32523	13735_0:003316
176403at32523	13735_0:002603
176408at32523	13735_0:002211
176412at32523	13735_0:000c1e
176586at32523	13735_0:003b90
176592at32523	13735_0:001a4f
17660at32523	13735_0:002cc3
176713at32523	13735_0:000172
176734at32523	13735_0:000c3c
176765at32523	13735_0:004900
176864at32523	13735_0:0003e8
176970at32523	13735_0:001328
177065at32523	13735_0:003310
177088at32523	13735_0:002baa
177102at32523	13735_0:000f1c
17731at32523	13735_0:002cc1
177343at32523	13735_0:000e50
17735at32523	13735_0:0046da
177431at32523	13735_0:001cd6
177525at32523	13735_0:002a60
177538at32523	13735_0:001753
177564at32523	13735_0:000aa5
177588at32523	13735_0:001fd1
17780at32523	13735_0:000d07
177855at32523	13735_0:003e03
177858at32523	13735_0:0034f8
177909at32523	13735_0:001e6c
177930at32523	13735_0:0021d2
177934at32523	13735_0:003d8f
177974at32523	13735_0:003620
17799at32523	13735_0:0007bf
17816at32523	13735_0:000948
178257at32523	13735_0:0038fc
178294at32523	13735_0:001b6f
178320at32523	13735_0:000794
178374at32523	13735_0:00262e
178473at32523	13735_0:0012ec
178490at32523	13735_0:001a2c
178523at32523	13735_0:0012f8
178611at32523	13735_0:0008cb
178688at32523	13735_0:001ee2
178726at32523	13735_0:004613
178745at32523	13735_0:004653
178746at32523	13735_0:001b3b
178785at32523	13735_0:0002fc
178841at32523	13735_0:0001af
178859at32523	13735_0:004249
178941at32523	13735_0:0019bd
17894at32523	13735_0:0031a0
178984at32523	13735_0:002829
179123at32523	13735_0:000381
179178at32523	13735_0:0048ae
179185at32523	13735_0:00338a
179213at32523	13735_0:0017c9
179224at32523	13735_0:002975
179256at32523	13735_0:001d50
179279at32523	13735_0:004a34
179457at32523	13735_0:003eb9
179598at32523	13735_0:000973
179601at32523	13735_0:0018d1
17963at32523	13735_0:004626
179678at32523	13735_0:000de4
179750at32523	13735_0:000bd1
179820at32523	13735_0:0045f0
179841at32523	13735_0:00209d
179871at32523	13735_0:00422f
179971at32523	13735_0:0002db
180133at32523	13735_0:0016a1
180229at32523	13735_0:0048da
180304at32523	13735_0:000eae
180354at32523	13735_0:00260b
180359at32523	13735_0:000904
180371at32523	13735_0:00126c
18041at32523	13735_0:00174f
18042at32523	13735_0:0033e4
18042at32523	13735_0:0044e0
18042at32523	13735_0:004578
18042at32523	13735_0:00457a
180491at32523	13735_0:0001cc
180491at32523	13735_0:0001cf
180493at32523	13735_0:002010
180533at32523	13735_0:0010d4
180550at32523	13735_0:0048a4
180579at32523	13735_0:00414d
180769at32523	13735_0:002a54
180794at32523	13735_0:000e9e
180829at32523	13735_0:003bd7
18091at32523	13735_0:003735
181104at32523	13735_0:001f56
181110at32523	13735_0:0008b5
181153at32523	13735_0:0011a8
18116at32523	13735_0:00408e
181245at32523	13735_0:004107
18124at32523	13735_0:003a94
181336at32523	13735_0:001c4a
181361at32523	13735_0:004737
181423at32523	13735_0:00203b
181454at32523	13735_0:001a66
181546at32523	13735_0:000825
181620at32523	13735_0:003b9b
181679at32523	13735_0:00086d
181736at32523	13735_0:000965
181765at32523	13735_0:000ecf
18178at32523	13735_0:001ba8
181827at32523	13735_0:003b5f
181890at32523	13735_0:004acc
181904at32523	13735_0:00301b
181908at32523	13735_0:003d38
181929at32523	13735_0:000a69
181994at32523	13735_0:0002e8
182033at32523	13735_0:003636
182087at32523	13735_0:0005ea
182087at32523	13735_0:000b22
18213at32523	13735_0:0006eb
182186at32523	13735_0:0021c2
182203at32523	13735_0:002117
182210at32523	13735_0:002443
182273at32523	13735_0:002cac
182302at32523	13735_0:000c6f
182304at32523	13735_0:0002a3
182378at32523	13735_0:000ba7
182485at32523	13735_0:0017c5
182497at32523	13735_0:0049b0
182531at32523	13735_0:003b28
182549at32523	13735_0:002d40
182590at32523	13735_0:00400a
182600at32523	13735_0:004664
182677at32523	13735_0:0043a3
182710at32523	13735_0:003834
182907at32523	13735_0:004a5c
183201at32523	13735_0:000b53
183328at32523	13735_0:002c63
183479at32523	13735_0:00253a
183577at32523	13735_0:0040f0
183602at32523	13735_0:003977
183646at32523	13735_0:00467a
18367at32523	13735_0:0009f6
183694at32523	13735_0:0013c8
183714at32523	13735_0:0040ec
183844at32523	13735_0:0024ee
18391at32523	13735_0:00324e
183985at32523	13735_0:00036b
184059at32523	13735_0:0046e7
184119at32523	13735_0:003530
184192at32523	13735_0:001209
184266at32523	13735_0:003ad4
184307at32523	13735_0:002295
184336at32523	13735_0:00059f
184337at32523	13735_0:003f81
184350at32523	13735_0:001df8
18447at32523	13735_0:0049f5
184549at32523	13735_0:004953
184559at32523	13735_0:003b40
184664at32523	13735_0:003797
184791at32523	13735_0:003186
184812at32523	13735_0:0034bc
184832at32523	13735_0:0011a2
184858at32523	13735_0:001fe1
184874at32523	13735_0:000be2
184879at32523	13735_0:00152a
184953at32523	13735_0:00383a
185160at32523	13735_0:0003b0
185182at32523	13735_0:000d54
185285at32523	13735_0:00152e
185394at32523	13735_0:0037f1
185435at32523	13735_0:0047d9
185471at32523	13735_0:0049d3
185680at32523	13735_0:002f1b
185755at32523	13735_0:002c24
185805at32523	13735_0:0034af
185958at32523	13735_0:00061a
185964at32523	13735_0:000d16
185971at32523	13735_0:0027d2
185973at32523	13735_0:00297c
185981at32523	13735_0:001416
185999at32523	13735_0:003101
186192at32523	13735_0:001127
186204at32523	13735_0:000f39
186255at32523	13735_0:001bcb
186301at32523	13735_0:00038f
186318at32523	13735_0:00221b
186362at32523	13735_0:001a49
186510at32523	13735_0:0024a7
186629at32523	13735_0:000235
186648at32523	13735_0:00020b
186688at32523	13735_0:0033b4
186718at32523	13735_0:00040b
186760at32523	13735_0:003a59
187173at32523	13735_0:004839
187227at32523	13735_0:001bef
187335at32523	13735_0:001789
187353at32523	13735_0:002698
187408at32523	13735_0:002c83
187568at32523	13735_0:00336d
187585at32523	13735_0:0025cc
187615at32523	13735_0:001c47
187646at32523	13735_0:002440
187650at32523	13735_0:001369
187736at32523	13735_0:002ee9
18779at32523	13735_0:000d87
187811at32523	13735_0:000e3f
187814at32523	13735_0:004abc
187823at32523	13735_0:001ec2
187973at32523	13735_0:001ef7
188029at32523	13735_0:0045a9
188076at32523	13735_0:00071d
188112at32523	13735_0:0047c8
188128at32523	13735_0:001c1f
188147at32523	13735_0:00420f
188174at32523	13735_0:00497f
188183at32523	13735_0:003daa
188202at32523	13735_0:00492d
188379at32523	13735_0:000d24
188390at32523	13735_0:001ab1
188549at32523	13735_0:0049c4
188561at32523	13735_0:004341
188643at32523	13735_0:001434
188683at32523	13735_0:003256
188688at32523	13735_0:001b62
188702at32523	13735_0:000b1d
188778at32523	13735_0:001959
188951at32523	13735_0:0005a1
188969at32523	13735_0:001004
188970at32523	13735_0:002103
189075at32523	13735_0:001273
189115at32523	13735_0:0008cc
189139at32523	13735_0:0023ed
189151at32523	13735_0:00141d
189181at32523	13735_0:000f8e
189184at32523	13735_0:0049e8
189196at32523	13735_0:00247b
189244at32523	13735_0:003d19
189246at32523	13735_0:00217e
189246at32523	13735_0:002188
189257at32523	13735_0:0016f1
189269at32523	13735_0:003cb6
189285at32523	13735_0:003560
189290at32523	13735_0:001c1d
189349at32523	13735_0:000158
189423at32523	13735_0:0027e0
189424at32523	13735_0:000bed
189458at32523	13735_0:0020f3
189464at32523	13735_0:002485
189488at32523	13735_0:00124c
189500at32523	13735_0:000ab0
189558at32523	13735_0:0036ee
189742at32523	13735_0:00330d
189789at32523	13735_0:001f50
189799at32523	13735_0:003801
190007at32523	13735_0:004756
190009at32523	13735_0:00209f
190036at32523	13735_0:00294d
190153at32523	13735_0:00144f
190361at32523	13735_0:003ef3
190386at32523	13735_0:0039e0
190391at32523	13735_0:00464c
190529at32523	13735_0:002320
190582at32523	13735_0:003bb4
190696at32523	13735_0:0024bb
190849at32523	13735_0:003b9d
190874at32523	13735_0:000888
190977at32523	13735_0:003080
191037at32523	13735_0:0030fd
191124at32523	13735_0:00008a
191205at32523	13735_0:00449a
191227at32523	13735_0:001a69
191359at32523	13735_0:002be3
191397at32523	13735_0:0030ff
191407at32523	13735_0:0046bf
191457at32523	13735_0:000a71
19148at32523	13735_0:001f87
191525at32523	13735_0:000ca9
191613at32523	13735_0:003a96
191700at32523	13735_0:004921
191758at32523	13735_0:0042fa
191790at32523	13735_0:000f58
191792at32523	13735_0:003704
191805at32523	13735_0:004a76
191823at32523	13735_0:002f1a
191941at32523	13735_0:00417a
191969at32523	13735_0:000170
192125at32523	13735_0:001836
192137at32523	13735_0:004994
192192at32523	13735_0:004065
192203at32523	13735_0:001312
192208at32523	13735_0:003045
192428at32523	13735_0:002904
192529at32523	13735_0:0026b5
192537at32523	13735_0:001eb1
192545at32523	13735_0:0042b6
192560at32523	13735_0:0019c5
192580at32523	13735_0:00093a
192653at32523	13735_0:001510
192769at32523	13735_0:00060d
192923at32523	13735_0:0044cb
192944at32523	13735_0:002b1b
193016at32523	13735_0:002b89
19303at32523	13735_0:00297a
193041at32523	13735_0:001d56
193064at32523	13735_0:003848
193093at32523	13735_0:003f55
193107at32523	13735_0:0004fc
193243at32523	13735_0:000349
193254at32523	13735_0:000908
19325at32523	13735_0:0017c6
193295at32523	13735_0:0024f2
193297at32523	13735_0:001a9a
193365at32523	13735_0:003d99
193457at32523	13735_0:000fa8
193519at32523	13735_0:004437
193528at32523	13735_0:0015b9
193560at32523	13735_0:000d20
193572at32523	13735_0:00042f
193611at32523	13735_0:001f85
193623at32523	13735_0:00195f
193635at32523	13735_0:0010f7
193659at32523	13735_0:003c10
193695at32523	13735_0:00095b
193851at32523	13735_0:00173d
193873at32523	13735_0:00178a
193924at32523	13735_0:003b4a
193988at32523	13735_0:004820
194006at32523	13735_0:0018e5
194066at32523	13735_0:002b61
194200at32523	13735_0:0042c4
194240at32523	13735_0:003fd9
19432at32523	13735_0:00024d
194421at32523	13735_0:002cba
194439at32523	13735_0:00400f
194447at32523	13735_0:00446e
194455at32523	13735_0:0030cf
194486at32523	13735_0:00042a
19449at32523	13735_0:000e96
194583at32523	13735_0:002ffa
194637at32523	13735_0:0045f3
194734at32523	13735_0:00140e
194878at32523	13735_0:002ccc
194893at32523	13735_0:004774
194949at32523	13735_0:000995
194996at32523	13735_0:0006e9
195101at32523	13735_0:00189c
195205at32523	13735_0:002733
195209at32523	13735_0:00317d
195214at32523	13735_0:001236
195215at32523	13735_0:00232f
195495at32523	13735_0:00451a
195522at32523	13735_0:000ea9
195570at32523	13735_0:00145d
195601at32523	13735_0:0043d0
195612at32523	13735_0:00225b
195619at32523	13735_0:0046d0
19568at32523	13735_0:002460
195714at32523	13735_0:001f15
195716at32523	13735_0:0037af
195753at32523	13735_0:0034dc
195778at32523	13735_0:00308a
195784at32523	13735_0:001ff6
