100073at32523	1415176_0:003aa1
144618at32523	1415176_0:001d34
144650at32523	1415176_0:000881
144656at32523	1415176_0:000c5a
144670at32523	1415176_0:00145c
144772at32523	1415176_0:002b3b
144781at32523	1415176_0:00220b
144786at32523	1415176_0:0024dc
144794at32523	1415176_0:002a3e
144934at32523	1415176_0:003c5b
145097at32523	1415176_0:001a1a
145103at32523	1415176_0:002d0b
145183at32523	1415176_0:00238e
145184at32523	1415176_0:001e03
145190at32523	1415176_0:001149
145193at32523	1415176_0:00325d
14519at32523	1415176_0:000cf4
145233at32523	1415176_0:003872
145311at32523	1415176_0:004495
145343at32523	1415176_0:0014aa
145427at32523	1415176_0:00139a
145469at32523	1415176_0:004283
145492at32523	1415176_0:0010f0
145527at32523	1415176_0:00177d
145540at32523	1415176_0:000ece
145548at32523	1415176_0:0030a8
145562at32523	1415176_0:0006d0
145562at32523	1415176_0:004559
145578at32523	1415176_0:003d10
145603at32523	1415176_0:00241c
145628at32523	1415176_0:001ab3
145721at32523	1415176_0:0028f7
145779at32523	1415176_0:002c84
145796at32523	1415176_0:0031cb
145866at32523	1415176_0:003306
145923at32523	1415176_0:0008f7
145957at32523	1415176_0:000f8b
145983at32523	1415176_0:00436f
146084at32523	1415176_0:003cfa
146129at32523	1415176_0:004296
146229at32523	1415176_0:002f79
146243at32523	1415176_0:0000b0
146381at32523	1415176_0:0027ce
146394at32523	1415176_0:00083c
146418at32523	1415176_0:0000fa
146431at32523	1415176_0:003c75
146507at32523	1415176_0:0016fe
146509at32523	1415176_0:000df7
146555at32523	1415176_0:001a54
146602at32523	1415176_0:001ec7
146603at32523	1415176_0:000e51
146641at32523	1415176_0:003b0b
146717at32523	1415176_0:0002b0
146781at32523	1415176_0:0031dc
146829at32523	1415176_0:00281c
146830at32523	1415176_0:0001cc
146870at32523	1415176_0:000057
146998at32523	1415176_0:0014b2
14701at32523	1415176_0:001138
147055at32523	1415176_0:000a98
147120at32523	1415176_0:003943
147202at32523	1415176_0:003c46
147223at32523	1415176_0:002c63
147237at32523	1415176_0:003c6e
147311at32523	1415176_0:0028fa
147313at32523	1415176_0:0032e9
147313at32523	1415176_0:0032ea
147363at32523	1415176_0:002802
147403at32523	1415176_0:0004d8
147430at32523	1415176_0:001b3d
147626at32523	1415176_0:00133b
147630at32523	1415176_0:0036da
147634at32523	1415176_0:00132b
147846at32523	1415176_0:001d18
147880at32523	1415176_0:00211c
147892at32523	1415176_0:000ce1
147995at32523	1415176_0:001f9e
148049at32523	1415176_0:0031fc
148089at32523	1415176_0:002913
148267at32523	1415176_0:000e70
148288at32523	1415176_0:0035be
148370at32523	1415176_0:000fb2
14845at32523	1415176_0:0030c9
148538at32523	1415176_0:00154f
148625at32523	1415176_0:0035af
148689at32523	1415176_0:001328
148851at32523	1415176_0:003cf6
148878at32523	1415176_0:002d9e
148904at32523	1415176_0:0043cd
149009at32523	1415176_0:0011a7
149048at32523	1415176_0:001f0b
149114at32523	1415176_0:001e91
149120at32523	1415176_0:002d47
149214at32523	1415176_0:0024a9
14923at32523	1415176_0:0031de
149281at32523	1415176_0:004ff1
149281at32523	1415176_0:0050bc
149295at32523	1415176_0:001640
149303at32523	1415176_0:0006a5
149367at32523	1415176_0:003a26
149417at32523	1415176_0:003885
149487at32523	1415176_0:00229d
149491at32523	1415176_0:00330b
149510at32523	1415176_0:000f67
149524at32523	1415176_0:003519
149535at32523	1415176_0:0010c6
149548at32523	1415176_0:000d3f
14956at32523	1415176_0:001a41
149597at32523	1415176_0:000a47
149605at32523	1415176_0:00432f
149610at32523	1415176_0:000f59
149711at32523	1415176_0:0022df
149713at32523	1415176_0:003bec
149751at32523	1415176_0:000031
149790at32523	1415176_0:00377e
14979at32523	1415176_0:00110e
149835at32523	1415176_0:001a17
149850at32523	1415176_0:001f10
149868at32523	1415176_0:00298c
149898at32523	1415176_0:003323
149929at32523	1415176_0:001244
149967at32523	1415176_0:00148c
15001at32523	1415176_0:003441
150076at32523	1415176_0:001b11
150095at32523	1415176_0:0021cf
150095at32523	1415176_0:0051d0
150104at32523	1415176_0:003190
150104at32523	1415176_0:0049c9
150141at32523	1415176_0:001687
150210at32523	1415176_0:000aa4
150366at32523	1415176_0:0017a7
150373at32523	1415176_0:00351d
15039at32523	1415176_0:001b58
150509at32523	1415176_0:001185
150577at32523	1415176_0:0027b4
150642at32523	1415176_0:0036d7
150698at32523	1415176_0:003c60
150824at32523	1415176_0:001f17
150956at32523	1415176_0:000378
151007at32523	1415176_0:000ade
151083at32523	1415176_0:001ced
151181at32523	1415176_0:000934
15121at32523	1415176_0:0020ae
151255at32523	1415176_0:00160f
151289at32523	1415176_0:001bef
151420at32523	1415176_0:001aa1
151454at32523	1415176_0:001ed6
151455at32523	1415176_0:0036df
15162at32523	1415176_0:003757
151644at32523	1415176_0:000147
151668at32523	1415176_0:002ef5
151813at32523	1415176_0:001f05
151890at32523	1415176_0:002be0
151903at32523	1415176_0:000fd1
151917at32523	1415176_0:000e4b
151965at32523	1415176_0:000997
152021at32523	1415176_0:00063a
152074at32523	1415176_0:0012aa
152156at32523	1415176_0:0019b2
152211at32523	1415176_0:002b0a
152308at32523	1415176_0:003116
152310at32523	1415176_0:001354
152358at32523	1415176_0:004120
152363at32523	1415176_0:0024c5
152395at32523	1415176_0:004f11
152435at32523	1415176_0:001441
152479at32523	1415176_0:00032a
152561at32523	1415176_0:004100
152640at32523	1415176_0:004af8
15265at32523	1415176_0:0042ff
152668at32523	1415176_0:002bed
152670at32523	1415176_0:001fa9
15274at32523	1415176_0:00381d
152751at32523	1415176_0:002326
152780at32523	1415176_0:004a60
1528at32523	1415176_0:002297
152953at32523	1415176_0:00029c
152969at32523	1415176_0:00329a
152992at32523	1415176_0:001709
153158at32523	1415176_0:0032be
153206at32523	1415176_0:000288
153217at32523	1415176_0:000f09
153223at32523	1415176_0:003517
153249at32523	1415176_0:0027d2
153255at32523	1415176_0:00228c
153277at32523	1415176_0:001a1c
153562at32523	1415176_0:001c8d
153576at32523	1415176_0:002f7c
153761at32523	1415176_0:005077
153897at32523	1415176_0:001643
153910at32523	1415176_0:00371b
15391at32523	1415176_0:001c16
154035at32523	1415176_0:0000c2
154069at32523	1415176_0:003b24
154096at32523	1415176_0:0010bc
154136at32523	1415176_0:000831
154151at32523	1415176_0:003325
154282at32523	1415176_0:003de0
154284at32523	1415176_0:003b25
154309at32523	1415176_0:002144
154328at32523	1415176_0:002e7d
154353at32523	1415176_0:002ac5
154512at32523	1415176_0:00000d
154512at32523	1415176_0:00000e
154512at32523	1415176_0:002878
154512at32523	1415176_0:0045bf
154512at32523	1415176_0:0046da
154523at32523	1415176_0:00225d
154532at32523	1415176_0:002016
15464at32523	1415176_0:00119a
154682at32523	1415176_0:002c2a
15476at32523	1415176_0:000592
154801at32523	1415176_0:000526
154803at32523	1415176_0:002f5e
154840at32523	1415176_0:002ad7
154904at32523	1415176_0:000441
154908at32523	1415176_0:000955
154924at32523	1415176_0:0042e8
154925at32523	1415176_0:000584
155031at32523	1415176_0:000ec6
155052at32523	1415176_0:000b34
155159at32523	1415176_0:003aa9
155164at32523	1415176_0:002cc2
155180at32523	1415176_0:003198
155190at32523	1415176_0:002204
15520at32523	1415176_0:002e36
155262at32523	1415176_0:003d84
155297at32523	1415176_0:002e33
155481at32523	1415176_0:002ac3
155486at32523	1415176_0:000851
15549at32523	1415176_0:0027ba
155642at32523	1415176_0:00010b
155761at32523	1415176_0:000bd7
155765at32523	1415176_0:00222c
155782at32523	1415176_0:003709
155788at32523	1415176_0:002bd2
155886at32523	1415176_0:001cca
155889at32523	1415176_0:0006cf
155954at32523	1415176_0:003581
155984at32523	1415176_0:003a02
155997at32523	1415176_0:004331
156036at32523	1415176_0:003a87
156110at32523	1415176_0:00271e
156218at32523	1415176_0:003fcf
156299at32523	1415176_0:0002e8
156345at32523	1415176_0:002cde
156394at32523	1415176_0:002a79
156433at32523	1415176_0:000ddb
156453at32523	1415176_0:001c43
156520at32523	1415176_0:00043f
156527at32523	1415176_0:000c28
156603at32523	1415176_0:001853
156603at32523	1415176_0:003f12
156612at32523	1415176_0:00103e
156644at32523	1415176_0:002ccf
156676at32523	1415176_0:002265
156677at32523	1415176_0:00299e
156691at32523	1415176_0:0047c1
156698at32523	1415176_0:003d0b
156795at32523	1415176_0:00316c
156797at32523	1415176_0:0011da
156797at32523	1415176_0:0011dd
156816at32523	1415176_0:002309
156907at32523	1415176_0:001aa5
15690at32523	1415176_0:0009b5
156913at32523	1415176_0:0041de
156936at32523	1415176_0:002c78
157045at32523	1415176_0:002c02
157101at32523	1415176_0:0046b6
157101at32523	1415176_0:004a6e
157149at32523	1415176_0:0041d1
157171at32523	1415176_0:0042f1
157184at32523	1415176_0:000e1b
157369at32523	1415176_0:002308
157511at32523	1415176_0:00098c
157522at32523	1415176_0:002f95
157532at32523	1415176_0:0006ff
157569at32523	1415176_0:002993
157574at32523	1415176_0:0006a4
157582at32523	1415176_0:0043f7
157610at32523	1415176_0:0011ab
157630at32523	1415176_0:000692
157714at32523	1415176_0:002769
157717at32523	1415176_0:0016d6
157748at32523	1415176_0:00174b
157804at32523	1415176_0:000f0f
157816at32523	1415176_0:001f3c
157817at32523	1415176_0:0010a7
157968at32523	1415176_0:0008bb
158013at32523	1415176_0:0010dc
158052at32523	1415176_0:001ffe
158106at32523	1415176_0:004f5d
158115at32523	1415176_0:001bc4
158268at32523	1415176_0:002a3d
15838at32523	1415176_0:0024b3
158403at32523	1415176_0:000db3
158404at32523	1415176_0:001b40
158430at32523	1415176_0:000a9e
158451at32523	1415176_0:000ee2
158470at32523	1415176_0:002a93
158487at32523	1415176_0:003e6d
158492at32523	1415176_0:00282e
158493at32523	1415176_0:000653
158657at32523	1415176_0:0020be
158697at32523	1415176_0:002400
158701at32523	1415176_0:0038a5
158701at32523	1415176_0:004539
158721at32523	1415176_0:0014f7
158753at32523	1415176_0:004277
158792at32523	1415176_0:0035df
158811at32523	1415176_0:001472
15890at32523	1415176_0:00225a
158955at32523	1415176_0:00377a
159065at32523	1415176_0:001591
15909at32523	1415176_0:001156
159137at32523	1415176_0:000b50
159144at32523	1415176_0:002725
159160at32523	1415176_0:003eb0
159191at32523	1415176_0:000323
159224at32523	1415176_0:003ce9
159353at32523	1415176_0:003fba
159382at32523	1415176_0:00147f
159490at32523	1415176_0:000e36
159524at32523	1415176_0:003eba
159536at32523	1415176_0:0020da
15955at32523	1415176_0:00082c
159599at32523	1415176_0:003d14
159696at32523	1415176_0:001777
159704at32523	1415176_0:003810
159723at32523	1415176_0:0034f4
159730at32523	1415176_0:00302d
159730at32523	1415176_0:00302f
159778at32523	1415176_0:003837
159796at32523	1415176_0:002f05
159796at32523	1415176_0:0051e2
159884at32523	1415176_0:000ac3
159905at32523	1415176_0:00191f
159991at32523	1415176_0:0026a3
160103at32523	1415176_0:002369
160110at32523	1415176_0:000455
160152at32523	1415176_0:000a6c
160155at32523	1415176_0:002854
160164at32523	1415176_0:00254d
160202at32523	1415176_0:00091a
160219at32523	1415176_0:000f84
160232at32523	1415176_0:003e55
16025at32523	1415176_0:0038fc
160273at32523	1415176_0:000e8a
160374at32523	1415176_0:00274c
160404at32523	1415176_0:001f37
160490at32523	1415176_0:003194
160510at32523	1415176_0:003986
160529at32523	1415176_0:001c95
160659at32523	1415176_0:001eb8
160677at32523	1415176_0:00095e
160758at32523	1415176_0:000af8
16076at32523	1415176_0:000e35
160911at32523	1415176_0:00111a
160923at32523	1415176_0:003a9d
160941at32523	1415176_0:002636
160946at32523	1415176_0:000f77
160962at32523	1415176_0:000229
161015at32523	1415176_0:0006ae
161080at32523	1415176_0:00113b
161090at32523	1415176_0:000de6
161102at32523	1415176_0:0022d5
161123at32523	1415176_0:003329
161244at32523	1415176_0:00014d
161263at32523	1415176_0:000f94
161343at32523	1415176_0:0035f6
161449at32523	1415176_0:003db1
161507at32523	1415176_0:0015d1
161532at32523	1415176_0:003e2c
161653at32523	1415176_0:000ad8
161674at32523	1415176_0:00266d
161728at32523	1415176_0:00420e
16175at32523	1415176_0:003ce7
161938at32523	1415176_0:002f3d
161967at32523	1415176_0:00005d
162030at32523	1415176_0:002b88
162034at32523	1415176_0:0036cc
162119at32523	1415176_0:002d09
162144at32523	1415176_0:001740
162293at32523	1415176_0:00061b
162333at32523	1415176_0:002365
162338at32523	1415176_0:001730
162427at32523	1415176_0:001ffd
162438at32523	1415176_0:0017ba
162442at32523	1415176_0:003018
162454at32523	1415176_0:0026f6
162481at32523	1415176_0:003b2d
162482at32523	1415176_0:0041a2
162668at32523	1415176_0:002a85
162671at32523	1415176_0:0035ea
162748at32523	1415176_0:003a60
162912at32523	1415176_0:00132c
162915at32523	1415176_0:0041c2
162932at32523	1415176_0:001987
162967at32523	1415176_0:003e8b
162967at32523	1415176_0:003e95
163158at32523	1415176_0:000615
163158at32523	1415176_0:004ebc
163180at32523	1415176_0:002c25
163188at32523	1415176_0:00240d
163200at32523	1415176_0:0028b4
163207at32523	1415176_0:00057d
163226at32523	1415176_0:001484
163231at32523	1415176_0:0001a4
163231at32523	1415176_0:0001af
163249at32523	1415176_0:00224d
163409at32523	1415176_0:0039e9
163540at32523	1415176_0:002bc9
163646at32523	1415176_0:003af8
163694at32523	1415176_0:000cd2
163709at32523	1415176_0:00234b
163714at32523	1415176_0:000239
163916at32523	1415176_0:001561
163930at32523	1415176_0:000db6
163950at32523	1415176_0:003d55
163952at32523	1415176_0:00285b
163963at32523	1415176_0:001200
164205at32523	1415176_0:0008f2
164362at32523	1415176_0:000c3c
164369at32523	1415176_0:00188d
164435at32523	1415176_0:0032f3
164437at32523	1415176_0:0003ec
164469at32523	1415176_0:001f16
164471at32523	1415176_0:00444b
164484at32523	1415176_0:000cdd
164580at32523	1415176_0:00059f
164604at32523	1415176_0:002daf
164694at32523	1415176_0:0022b3
16472at32523	1415176_0:000e58
164767at32523	1415176_0:001fb0
164801at32523	1415176_0:000e67
164856at32523	1415176_0:002441
16495at32523	1415176_0:002871
165017at32523	1415176_0:004081
165047at32523	1415176_0:001732
165049at32523	1415176_0:004015
16505at32523	1415176_0:0010ef
165208at32523	1415176_0:000a1d
165225at32523	1415176_0:002003
165240at32523	1415176_0:00080e
165260at32523	1415176_0:003148
165319at32523	1415176_0:000d7c
165320at32523	1415176_0:000963
165326at32523	1415176_0:00099e
165328at32523	1415176_0:001a66
165454at32523	1415176_0:000952
165494at32523	1415176_0:0004bb
165500at32523	1415176_0:00144b
165502at32523	1415176_0:002613
165526at32523	1415176_0:003dcc
165606at32523	1415176_0:002c70
165745at32523	1415176_0:003e38
165748at32523	1415176_0:000182
165748at32523	1415176_0:000192
165786at32523	1415176_0:003673
165838at32523	1415176_0:000163
165981at32523	1415176_0:001e2d
166024at32523	1415176_0:00334b
166027at32523	1415176_0:0025e9
16602at32523	1415176_0:000e1f
166132at32523	1415176_0:002549
166167at32523	1415176_0:00518e
166186at32523	1415176_0:000c39
166317at32523	1415176_0:001ae7
166322at32523	1415176_0:002361
166322at32523	1415176_0:004700
166353at32523	1415176_0:004aef
166443at32523	1415176_0:00260a
166537at32523	1415176_0:000e9e
166546at32523	1415176_0:000efa
166597at32523	1415176_0:000c42
166620at32523	1415176_0:00398e
166660at32523	1415176_0:000b7a
166773at32523	1415176_0:002707
166812at32523	1415176_0:002dde
16690at32523	1415176_0:002ba0
166999at32523	1415176_0:003217
167005at32523	1415176_0:002fe4
16701at32523	1415176_0:0029eb
167036at32523	1415176_0:0029ad
167094at32523	1415176_0:00376f
167107at32523	1415176_0:001e22
16711at32523	1415176_0:001978
167127at32523	1415176_0:0039a8
167160at32523	1415176_0:0031a8
167179at32523	1415176_0:001e93
167184at32523	1415176_0:002822
167184at32523	1415176_0:0047b5
167195at32523	1415176_0:000015
167295at32523	1415176_0:004776
167373at32523	1415176_0:004303
167394at32523	1415176_0:00391b
167400at32523	1415176_0:002604
167417at32523	1415176_0:000153
167418at32523	1415176_0:001be5
167437at32523	1415176_0:000dcc
167447at32523	1415176_0:000c05
167459at32523	1415176_0:003cb3
167540at32523	1415176_0:00319b
167562at32523	1415176_0:004278
167576at32523	1415176_0:00023f
167608at32523	1415176_0:004739
167608at32523	1415176_0:004fc8
167610at32523	1415176_0:000ae4
167629at32523	1415176_0:0049cb
167639at32523	1415176_0:0009f4
167645at32523	1415176_0:003021
167656at32523	1415176_0:000acf
167660at32523	1415176_0:00187e
167664at32523	1415176_0:001503
167754at32523	1415176_0:001611
167886at32523	1415176_0:0036ab
167904at32523	1415176_0:002289
167960at32523	1415176_0:001b55
168043at32523	1415176_0:0020ec
168114at32523	1415176_0:001859
168146at32523	1415176_0:0023fc
168147at32523	1415176_0:00328b
168150at32523	1415176_0:0011f5
168156at32523	1415176_0:00125a
168278at32523	1415176_0:001268
168302at32523	1415176_0:0012fe
168322at32523	1415176_0:000f3a
168412at32523	1415176_0:00254a
168413at32523	1415176_0:0036c1
168420at32523	1415176_0:00031a
168421at32523	1415176_0:003d56
168446at32523	1415176_0:002539
168450at32523	1415176_0:0030ba
168457at32523	1415176_0:002e04
168477at32523	1415176_0:001ec3
168477at32523	1415176_0:0043da
168522at32523	1415176_0:001eca
168608at32523	1415176_0:002aaf
168634at32523	1415176_0:001270
168809at32523	1415176_0:000839
168840at32523	1415176_0:0026ad
168903at32523	1415176_0:003485
168932at32523	1415176_0:002df1
168953at32523	1415176_0:001c34
169032at32523	1415176_0:000d84
16928at32523	1415176_0:000e02
16931at32523	1415176_0:0006aa
169330at32523	1415176_0:00441c
169346at32523	1415176_0:003b9a
169366at32523	1415176_0:003105
169435at32523	1415176_0:001176
169495at32523	1415176_0:000aec
169507at32523	1415176_0:003f4e
169526at32523	1415176_0:00325c
1696at32523	1415176_0:00194d
169719at32523	1415176_0:00105a
16978at32523	1415176_0:000274
169850at32523	1415176_0:0013d7
169930at32523	1415176_0:0026ed
170019at32523	1415176_0:0008e6
170076at32523	1415176_0:0015ea
170076at32523	1415176_0:001b7a
170079at32523	1415176_0:004057
170080at32523	1415176_0:00081b
170095at32523	1415176_0:000471
17009at32523	1415176_0:001bdf
170201at32523	1415176_0:002d0c
170246at32523	1415176_0:00374c
170296at32523	1415176_0:000056
170322at32523	1415176_0:002ddd
170380at32523	1415176_0:001da7
170550at32523	1415176_0:00269b
17056at32523	1415176_0:0003e9
170646at32523	1415176_0:000f0c
170680at32523	1415176_0:005152
170856at32523	1415176_0:00029a
170858at32523	1415176_0:000d01
171060at32523	1415176_0:0048a9
171087at32523	1415176_0:003f18
171096at32523	1415176_0:001ad9
171134at32523	1415176_0:0014b8
171155at32523	1415176_0:00341b
171298at32523	1415176_0:003e9b
171311at32523	1415176_0:004492
171347at32523	1415176_0:004154
171348at32523	1415176_0:002f2d
171348at32523	1415176_0:003ed3
171423at32523	1415176_0:003995
171423at32523	1415176_0:0044ea
171475at32523	1415176_0:0006c2
171521at32523	1415176_0:001eab
171587at32523	1415176_0:0031b6
171612at32523	1415176_0:002e83
171639at32523	1415176_0:0039af
171639at32523	1415176_0:004efa
171646at32523	1415176_0:002572
171656at32523	1415176_0:00473f
17185at32523	1415176_0:000ad3
172011at32523	1415176_0:00281f
172050at32523	1415176_0:001202
17218at32523	1415176_0:002543
172222at32523	1415176_0:002bdd
172234at32523	1415176_0:002865
172287at32523	1415176_0:0025d4
172434at32523	1415176_0:002a3b
17252at32523	1415176_0:003763
172569at32523	1415176_0:000eb2
172613at32523	1415176_0:000923
172613at32523	1415176_0:0039b4
172636at32523	1415176_0:000646
172637at32523	1415176_0:00118e
172732at32523	1415176_0:002877
172732at32523	1415176_0:004a65
172821at32523	1415176_0:00008b
172839at32523	1415176_0:000131
172934at32523	1415176_0:00026e
172939at32523	1415176_0:002925
173014at32523	1415176_0:0013e2
173021at32523	1415176_0:003c90
173082at32523	1415176_0:00027c
173099at32523	1415176_0:000538
173105at32523	1415176_0:0018b7
173139at32523	1415176_0:0035e6
173181at32523	1415176_0:00273e
173329at32523	1415176_0:004867
173329at32523	1415176_0:004fcf
173550at32523	1415176_0:000950
173575at32523	1415176_0:002efe
173582at32523	1415176_0:001854
173591at32523	1415176_0:003e41
173598at32523	1415176_0:000cfd
17363at32523	1415176_0:000d27
173655at32523	1415176_0:001930
173656at32523	1415176_0:002a0b
173705at32523	1415176_0:001b64
173747at32523	1415176_0:001775
173797at32523	1415176_0:002c2e
173815at32523	1415176_0:000105
173832at32523	1415176_0:00025f
173903at32523	1415176_0:003860
173918at32523	1415176_0:0041e9
174022at32523	1415176_0:0040cc
174027at32523	1415176_0:00158f
17403at32523	1415176_0:0020ff
174211at32523	1415176_0:00028e
174347at32523	1415176_0:0023d6
174365at32523	1415176_0:002994
174403at32523	1415176_0:0038ce
174474at32523	1415176_0:00011a
174518at32523	1415176_0:000f33
174588at32523	1415176_0:001fd9
174589at32523	1415176_0:0033d0
174611at32523	1415176_0:002533
174621at32523	1415176_0:0019ba
174624at32523	1415176_0:0010b0
174649at32523	1415176_0:003f95
174675at32523	1415176_0:0008dd
174771at32523	1415176_0:000df0
174781at32523	1415176_0:000de2
174853at32523	1415176_0:0002ae
174890at32523	1415176_0:000210
174944at32523	1415176_0:002281
174944at32523	1415176_0:0045e1
174944at32523	1415176_0:004663
174949at32523	1415176_0:00040c
174959at32523	1415176_0:00222b
175073at32523	1415176_0:000fe6
175113at32523	1415176_0:0029c4
17511at32523	1415176_0:0005d1
175128at32523	1415176_0:001e4b
175337at32523	1415176_0:000bfc
175395at32523	1415176_0:000c97
175462at32523	1415176_0:00183b
175476at32523	1415176_0:001915
175503at32523	1415176_0:001fe3
175561at32523	1415176_0:001c3a
175562at32523	1415176_0:003704
175597at32523	1415176_0:000a27
175609at32523	1415176_0:0038ec
175626at32523	1415176_0:000e8c
175663at32523	1415176_0:0032a5
175768at32523	1415176_0:0022f5
175843at32523	1415176_0:0028b8
175870at32523	1415176_0:0010cf
175883at32523	1415176_0:000478
175897at32523	1415176_0:003d2d
17600at32523	1415176_0:002f40
176061at32523	1415176_0:0005a3
176101at32523	1415176_0:00411c
176110at32523	1415176_0:004116
176224at32523	1415176_0:001ed9
176378at32523	1415176_0:002bad
176403at32523	1415176_0:0023ed
176408at32523	1415176_0:003ace
176412at32523	1415176_0:003368
176586at32523	1415176_0:002d5c
176589at32523	1415176_0:00207b
176589at32523	1415176_0:004fe3
176592at32523	1415176_0:00253e
17660at32523	1415176_0:000ef7
176713at32523	1415176_0:001477
176734at32523	1415176_0:000b14
176765at32523	1415176_0:003123
176864at32523	1415176_0:001446
176970at32523	1415176_0:0027ec
176970at32523	1415176_0:0027ed
177065at32523	1415176_0:002785
177088at32523	1415176_0:001ba3
177102at32523	1415176_0:001e50
17731at32523	1415176_0:000eee
177343at32523	1415176_0:000306
17735at32523	1415176_0:000c72
177431at32523	1415176_0:0029ea
177525at32523	1415176_0:003981
177538at32523	1415176_0:001125
177564at32523	1415176_0:0017a1
177588at32523	1415176_0:002be5
17780at32523	1415176_0:002015
177848at32523	1415176_0:002102
177855at32523	1415176_0:003b49
177858at32523	1415176_0:002b14
177906at32523	1415176_0:000ab0
177909at32523	1415176_0:004272
177930at32523	1415176_0:001ddd
177934at32523	1415176_0:0037d5
177974at32523	1415176_0:00255e
17799at32523	1415176_0:0001ab
17799at32523	1415176_0:0001b0
178072at32523	1415176_0:0035e2
17816at32523	1415176_0:003d06
178257at32523	1415176_0:0048a7
178294at32523	1415176_0:0042eb
178320at32523	1415176_0:000a5f
178374at32523	1415176_0:003b26
178473at32523	1415176_0:000594
178490at32523	1415176_0:00124d
178523at32523	1415176_0:001301
178611at32523	1415176_0:001511
178688at32523	1415176_0:0014cc
178726at32523	1415176_0:0011db
178745at32523	1415176_0:001228
178746at32523	1415176_0:002b5f
178785at32523	1415176_0:003ede
178841at32523	1415176_0:000ccc
178859at32523	1415176_0:002465
178941at32523	1415176_0:0039df
17894at32523	1415176_0:002e3d
178984at32523	1415176_0:001aaf
179123at32523	1415176_0:0025f4
179178at32523	1415176_0:002485
179185at32523	1415176_0:0029d7
179213at32523	1415176_0:0026b8
179224at32523	1415176_0:002f15
179256at32523	1415176_0:000513
179279at32523	1415176_0:003d59
179457at32523	1415176_0:00444f
179598at32523	1415176_0:0022ba
179601at32523	1415176_0:004ae1
17963at32523	1415176_0:00054a
179678at32523	1415176_0:000446
179750at32523	1415176_0:0042ab
179820at32523	1415176_0:002261
179841at32523	1415176_0:00170b
179871at32523	1415176_0:00004f
179971at32523	1415176_0:002d80
180133at32523	1415176_0:002dae
180229at32523	1415176_0:003111
180304at32523	1415176_0:002f83
180354at32523	1415176_0:003457
180359at32523	1415176_0:0005da
180371at32523	1415176_0:003411
18041at32523	1415176_0:000948
18042at32523	1415176_0:001282
180491at32523	1415176_0:000c50
180493at32523	1415176_0:000390
180533at32523	1415176_0:0027bd
180533at32523	1415176_0:004743
180550at32523	1415176_0:0052b7
180579at32523	1415176_0:00366f
180769at32523	1415176_0:003978
180794at32523	1415176_0:002cc3
180829at32523	1415176_0:000f0e
18091at32523	1415176_0:000168
181104at32523	1415176_0:003dd3
181110at32523	1415176_0:000f2b
181153at32523	1415176_0:002b20
18116at32523	1415176_0:002ef0
181245at32523	1415176_0:0020e4
18124at32523	1415176_0:0028d7
181336at32523	1415176_0:001d07
181361at32523	1415176_0:0026fd
181423at32523	1415176_0:001157
181454at32523	1415176_0:00224f
181546at32523	1415176_0:002744
181620at32523	1415176_0:001396
181679at32523	1415176_0:00034a
181736at32523	1415176_0:000f1a
181765at32523	1415176_0:000640
18178at32523	1415176_0:002d9b
181827at32523	1415176_0:0009da
181827at32523	1415176_0:003bb9
181890at32523	1415176_0:000e0a
181904at32523	1415176_0:00319a
181908at32523	1415176_0:0017d3
181929at32523	1415176_0:003883
181994at32523	1415176_0:002634
182033at32523	1415176_0:0025ab
182087at32523	1415176_0:002ec2
18213at32523	1415176_0:002bd3
182186at32523	1415176_0:002298
182203at32523	1415176_0:00160b
182210at32523	1415176_0:000b9e
182273at32523	1415176_0:000ee3
182302at32523	1415176_0:0013c7
182304at32523	1415176_0:004174
182378at32523	1415176_0:002491
182485at32523	1415176_0:003dfd
182497at32523	1415176_0:0043d4
182531at32523	1415176_0:003d75
182549at32523	1415176_0:001fdd
182590at32523	1415176_0:000a6b
182600at32523	1415176_0:002b15
182677at32523	1415176_0:00378d
182710at32523	1415176_0:000cc9
182907at32523	1415176_0:002823
183201at32523	1415176_0:00257f
183205at32523	1415176_0:00260e
183328at32523	1415176_0:001b29
183479at32523	1415176_0:00057e
183577at32523	1415176_0:00363a
183602at32523	1415176_0:001a26
183646at32523	1415176_0:00118d
18367at32523	1415176_0:0032c3
183694at32523	1415176_0:001d0d
183714at32523	1415176_0:00058b
18382at32523	1415176_0:000ac0
183844at32523	1415176_0:0041a5
18391at32523	1415176_0:00251e
183985at32523	1415176_0:0029aa
184059at32523	1415176_0:0000c7
184119at32523	1415176_0:000384
184192at32523	1415176_0:00423c
184266at32523	1415176_0:003fda
184307at32523	1415176_0:0008cb
184336at32523	1415176_0:003546
184337at32523	1415176_0:003d44
184350at32523	1415176_0:003cc0
18447at32523	1415176_0:0027fe
18447at32523	1415176_0:0045e9
18447at32523	1415176_0:004dae
184549at32523	1415176_0:002729
184559at32523	1415176_0:003d70
184664at32523	1415176_0:000ec5
184791at32523	1415176_0:0024e2
184812at32523	1415176_0:001ccd
184832at32523	1415176_0:0018cb
184858at32523	1415176_0:000c84
184874at32523	1415176_0:000823
184879at32523	1415176_0:00006a
184953at32523	1415176_0:000cc3
185160at32523	1415176_0:000d6f
185182at32523	1415176_0:003ec6
185285at32523	1415176_0:000048
185394at32523	1415176_0:0008a0
185435at32523	1415176_0:001796
185471at32523	1415176_0:00301a
185680at32523	1415176_0:000114
